time = 2018-01-01 23:18:32
doCnt = 10000000
Case                          StdWrite  StdRead   EncodeY   DecodeY   EncodeN   DecodeN   TotalTime 
FastValues.Int                -         -         1.77s     1.92s     1.78s     1.90s     7.42s     
FastValues.Uint               -         -         1.60s     1.75s     1.59s     1.76s     14.12s    
FastValues.Bool               0.41s     0.92s     0.84s     0.75s     0.83s     0.76s     18.63s    
FastValues.Int8               0.37s     0.85s     0.84s     0.73s     0.89s     0.72s     23.04s    
FastValues.Int16              0.42s     0.93s     0.91s     0.80s     0.90s     0.78s     27.77s    
FastValues.Int32              0.41s     0.92s     0.90s     0.80s     0.90s     0.78s     32.47s    
FastValues.Int64              0.39s     0.92s     0.98s     0.80s     0.92s     0.78s     37.25s    
FastValues.Uint8              0.40s     0.92s     0.82s     0.72s     0.81s     0.73s     41.65s    
FastValues.Uint16             0.41s     0.88s     0.87s     0.77s     0.88s     0.77s     46.23s    
FastValues.Uint32             0.40s     0.92s     0.87s     0.76s     0.87s     0.76s     50.80s    
FastValues.Uint64             0.42s     0.89s     0.86s     0.75s     0.88s     0.77s     55.39s    
FastValues.Float32            0.96s     1.44s     0.92s     0.79s     0.92s     0.79s     61.20s    
FastValues.Float64            0.91s     1.46s     0.88s     0.79s     0.88s     0.78s     66.90s    
FastValues.Complex64          1.04s     1.59s     1.04s     1.04s     1.03s     1.01s     73.66s    
FastValues.Complex128         1.12s     1.61s     0.98s     0.98s     0.98s     0.98s     80.32s    
FastValues.String             -         -         2.26s     1.90s     2.18s     1.82s     88.48s    
FastValues.IntSlice           -         -         1.12s     1.50s     1.12s     1.52s     93.74s    
FastValues.UintSlice          -         -         1.07s     1.48s     1.08s     1.40s     98.76s    
FastValues.BoolSlice          0.24s     0.09s     0.10s     0.13s     0.10s     0.12s     99.54s    
FastValues.Int8Slice          0.07s     0.10s     0.18s     0.24s     0.18s     0.24s     100.54s   
FastValues.Int16Slice         0.12s     0.11s     0.33s     0.35s     0.33s     0.35s     102.13s   
FastValues.Int32Slice         0.13s     0.11s     0.35s     0.36s     0.35s     0.38s     103.81s   
FastValues.Int64Slice         0.13s     0.13s     0.30s     0.38s     0.30s     0.40s     105.44s   
FastValues.Uint8Slice         0.06s     0.09s     0.15s     0.20s     0.15s     0.20s     106.27s   
FastValues.Uint16Slice        0.10s     0.07s     0.31s     0.28s     0.31s     0.29s     107.63s   
FastValues.Uint32Slice        0.12s     0.09s     0.31s     0.31s     0.30s     0.30s     109.06s   
FastValues.Uint64Slice        0.12s     0.09s     0.28s     0.31s     0.28s     0.31s     110.45s   
FastValues.Float32Slice       0.35s     0.08s     0.27s     0.33s     0.27s     0.33s     112.08s   
FastValues.Float64Slice       0.37s     0.10s     0.30s     0.36s     0.30s     0.37s     113.90s   
FastValues.Complex64Slice     0.49s     0.10s     0.48s     0.64s     0.53s     0.63s     116.75s   
FastValues.Complex128Slice    0.48s     0.09s     0.51s     0.65s     0.51s     0.65s     119.66s   
FastValues.StringSlice        -         -         1.08s     1.09s     1.10s     1.11s     124.04s   
NormalValues.Int              -         -         2.79s     2.58s     2.27s     2.35s     134.02s   
NormalValues.Uint             -         -         2.67s     2.46s     2.17s     2.21s     143.52s   
NormalValues.Bool             0.80s     1.31s     1.86s     1.42s     1.33s     1.21s     151.45s   
NormalValues.Int8             0.83s     1.30s     1.81s     1.45s     1.35s     1.17s     159.35s   
NormalValues.Int16            0.97s     1.40s     1.86s     1.52s     1.43s     1.26s     167.79s   
NormalValues.Int32            0.96s     1.46s     1.85s     1.51s     1.45s     1.24s     176.26s   
NormalValues.Int64            0.96s     1.59s     1.86s     1.47s     1.38s     1.21s     184.73s   
NormalValues.Uint8            0.82s     1.31s     1.78s     1.39s     1.31s     1.14s     192.47s   
NormalValues.Uint16           0.90s     1.40s     1.83s     1.52s     1.37s     1.21s     200.69s   
NormalValues.Uint32           0.96s     1.38s     1.81s     1.43s     1.38s     1.19s     208.83s   
NormalValues.Uint64           0.95s     1.54s     1.85s     1.47s     1.37s     1.20s     217.21s   
NormalValues.Float32          0.94s     1.46s     1.89s     1.48s     1.46s     1.26s     225.68s   
NormalValues.Float64          0.94s     1.56s     1.85s     1.49s     1.36s     1.23s     234.12s   
NormalValues.Complex64        1.05s     1.60s     2.02s     1.77s     1.58s     1.49s     243.63s   
NormalValues.Complex128       1.16s     1.59s     1.98s     1.79s     1.54s     1.49s     253.18s   
NormalValues.String           -         -         3.24s     2.67s     2.84s     2.64s     264.58s   
NormalValues.IntSlice         -         -         1.87s     1.89s     1.77s     1.83s     271.95s   
NormalValues.UintSlice        -         -         1.93s     1.82s     1.69s     1.79s     279.17s   
NormalValues.BoolSlice        0.23s     0.09s     0.40s     0.49s     0.33s     0.44s     281.14s   
NormalValues.Int8Slice        0.29s     0.11s     0.52s     0.64s     0.41s     0.59s     283.71s   
NormalValues.Int16Slice       0.38s     0.11s     0.58s     0.74s     0.50s     0.67s     286.69s   
NormalValues.Int32Slice       0.41s     0.11s     0.66s     0.80s     0.54s     0.71s     289.91s   
NormalValues.Int64Slice       0.41s     0.12s     0.61s     0.80s     0.52s     0.73s     293.09s   
NormalValues.Uint8Slice       0.28s     0.09s     0.45s     0.57s     0.37s     0.53s     295.36s   
NormalValues.Uint16Slice      0.34s     0.08s     0.50s     0.60s     0.44s     0.59s     297.92s   
NormalValues.Uint32Slice      0.35s     0.10s     0.50s     0.65s     0.41s     0.60s     300.52s   
NormalValues.Uint64Slice      0.37s     0.11s     0.51s     0.67s     0.44s     0.63s     303.24s   
NormalValues.Float32Slice     0.35s     0.08s     0.61s     0.68s     0.49s     0.61s     306.07s   
NormalValues.Float64Slice     0.37s     0.10s     0.66s     0.80s     0.50s     0.71s     309.22s   
NormalValues.Complex64Slice   0.53s     0.10s     0.79s     1.00s     0.71s     0.96s     313.31s   
NormalValues.Complex128Slice  0.50s     0.09s     0.75s     1.05s     0.66s     0.94s     317.31s   
NormalValues.StringSlice      -         -         1.90s     1.53s     1.78s     1.50s     324.02s   
NormalValues.MapUU            -         -         4.69s     2.64s     4.53s     2.65s     338.53s   
LargeData.LgIntSlice          -         -         1.16s     1.42s     1.13s     1.41s     343.65s   
LargeData.LgUintSlice         -         -         1.00s     1.31s     1.00s     1.37s     348.33s   
LargeData.LgBoolSlice         0.25s     0.00s     0.03s     0.04s     0.03s     0.05s     348.73s   
LargeData.LgInt8Slice         0.01s     0.00s     0.11s     0.14s     0.10s     0.14s     349.23s   
LargeData.LgInt16Slice        0.06s     0.00s     0.21s     0.25s     0.21s     0.25s     350.19s   
LargeData.LgInt32Slice        0.07s     0.00s     0.20s     0.25s     0.20s     0.26s     351.17s   
LargeData.LgInt64Slice        0.07s     0.00s     0.19s     0.27s     0.19s     0.26s     352.15s   
LargeData.LgUint8Slice        0.00s     0.00s     0.08s     0.12s     0.10s     0.12s     352.57s   
LargeData.LgUint16Slice       0.06s     0.00s     0.17s     0.22s     0.17s     0.22s     353.41s   
LargeData.LgUint32Slice       0.07s     0.00s     0.22s     0.22s     0.23s     0.23s     354.38s   
LargeData.LgUint64Slice       0.07s     0.00s     0.17s     0.23s     0.17s     0.24s     355.25s   
LargeData.LgFloat32Slice      0.28s     0.00s     0.20s     0.27s     0.20s     0.26s     356.47s   
LargeData.LgFloat64Slice      0.30s     0.00s     0.18s     0.28s     0.19s     0.27s     357.70s   
LargeData.LgComplex64Slice    0.40s     0.00s     0.39s     0.55s     0.38s     0.54s     359.96s   
LargeData.LgComplex128Slice   0.40s     0.00s     0.41s     0.57s     0.39s     0.57s     362.29s   
LargeData.LgStringSlice       -         -         1.59s     1.18s     1.59s     1.14s     367.79s   
LargeData.LgIntArray          -         -         1.66s     1.56s     1.67s     1.67s     374.35s   
LargeData.LgUintArray         -         -         1.49s     1.47s     1.49s     1.51s     380.31s   
LargeData.LgBoolArray         0.23s     0.19s     0.25s     0.21s     0.25s     0.20s     381.63s   
LargeData.LgInt8Array         0.22s     0.17s     0.23s     0.29s     0.23s     0.29s     383.07s   
LargeData.LgInt16Array        0.30s     0.26s     0.32s     0.38s     0.31s     0.37s     385.01s   
LargeData.LgInt32Array        0.29s     0.26s     0.33s     0.38s     0.32s     0.37s     386.97s   
LargeData.LgInt64Array        0.31s     0.27s     0.30s     0.38s     0.30s     0.38s     388.90s   
LargeData.LgUint8Array        0.23s     0.17s     0.21s     0.26s     0.22s     0.26s     390.26s   
LargeData.LgUint16Array       0.27s     0.23s     0.29s     0.39s     0.32s     0.40s     392.15s   
LargeData.LgUint32Array       0.32s     0.27s     0.26s     0.32s     0.24s     0.32s     393.89s   
LargeData.LgUint64Array       0.29s     0.26s     0.28s     0.34s     0.28s     0.34s     395.68s   
LargeData.LgFloat32Array      0.28s     0.24s     0.31s     0.38s     0.31s     0.39s     397.59s   
LargeData.LgFloat64Array      0.36s     0.29s     0.31s     0.39s     0.32s     0.37s     399.65s   
LargeData.LgComplex64Array    0.40s     0.35s     0.51s     0.73s     0.51s     0.72s     402.86s   
